Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price,category
Beige ,Elegant ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.89,89.0,dresses
Dark Green ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"85% Polyester, 15% Spandex ",Machine wash or professional dry clean ,4.88,179.0,dresses
Apricot ,Party ,Plain ,A Line ,Medium Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,119.0,dresses
Black ,Boho ,Floral ,Smock ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.97,59.0,dresses
Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,69.0,dresses
Baby Blue ,Elegant ,Plaid ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.9,139.0,dresses
Black ,Sexy ,Heart ,A Line ,Non-Stretch ,Mesh Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,79.0,dresses
Multicolor ,Boho ,Paisley ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,Hand wash or professional dry clean ,4.93,69.0,dresses
Dark Green ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.87,139.0,dresses
Black ,Cute ,Plain ,Smock ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.86,69.0,dresses
Dusty Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Mesh Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,119.0,dresses
Dark Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,4.85,69.0,dresses
Black ,Elegant ,Heart ,Shirt ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,59.0,dresses
Dark Green ,Elegant ,Plain ,Fitted ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,4.86,69.0,dresses
Dark Green ,Casual ,Leopard Print ,Smock ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.73,69.0,dresses
Navy Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.85,79.0,dresses
Black ,Casual ,Plain ,Bodycon ,Non-Stretch ,Fabric ,"92% Cotton, 8% Elastane ",Machine wash or professional dry clean ,4.93,47.0,dresses
Teal Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"98% Polyester, 2% Spandex ",Machine wash or professional dry clean ,4.9,109.0,dresses
Multicolor ,Sexy ,"Letter, Graphic ",Cami ,Slight Stretch ,Knitted Fabric ,"92% Polyester, 8% Elastane ",Machine wash or professional dry clean ,0.0,29.0,dresses
Navy Blue ,Party ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.95,119.0,dresses
Apricot ,Casual ,Plain ,Tee ,Medium Stretch ,Knitted Fabric ,"60% Polyester, 35% Rayon, 5% Elastane ",Machine wash or professional dry clean ,4.87,49.0,dresses
Brown ,Casual ,All Over Print ,A Line ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,4.85,69.0,dresses
Dark Green ,Party ,Plain ,Fitted ,Medium Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",4.88,179.0,dresses
Multicolor ,Boho ,Colorblock ,Tunic ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.79,49.0,dresses
Hot Pink ,Party ,Plain ,Fitted ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,49.0,dresses
White ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,55.0,dresses
Multicolor ,Elegant ,Graphic ,Fitted ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.82,29.0,dresses
Mint Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,79.0,dresses
Baby Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,99.0,dresses
Yellow ,Cute ,Gingham ,Smock ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,59.0,dresses
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,69.0,dresses
Black ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,49.0,dresses
Camel ,Casual ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,"80% Viscose, 20% Polyamide ",Hand wash or professional dry clean ,4.94,89.0,dresses
Black ,Boho ,Floral ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.97,149.0,dresses
Dark Green ,Elegant ,Polka Dot ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,39.0,dresses
Green ,Boho ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.9,69.0,dresses
Multicolor ,Casual ,Geometric ,Tee ,Slight Stretch ,Knitted Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,59.0,dresses
Coffee Brown ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.73,59.0,dresses
Dark Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.74,79.0,dresses
Multicolor ,Modest ,Colorblock ,Tunic ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,4.84,49.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"94% Viscose, 6% Elastane ",Machine wash or professional dry clean ,4.91,39.0,dresses
Multicolor ,Casual ,Letter ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",4.83,59.0,dresses
Beige ,Boho ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,79.0,dresses
Multicolor ,Boho ,Paisley ,A Line ,Non-Stretch ,Fabric ,"98% Polyester, 2% Spandex ",Machine wash or professional dry clean ,4.91,69.0,dresses
Brown ,Casual ,Plaid ,Pinafore ,Non-Stretch ,Fabric ,"65% Cotton, 35% Polyester ","Machine wash, do not dry clean ",4.44,69.0,dresses
Rust Brown ,Elegant ,Plain ,Fitted ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,4.91,79.0,dresses
Dark Green ,Casual ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.48,59.0,dresses
Mint Green ,Sexy ,Plain ,Cami ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,129.0,dresses
Teal Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,79.0,dresses
Dusty Blue ,Elegant ,Plain ,A Line ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,99.0,dresses
Blue ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.82,49.0,dresses
Dark Green ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.0,259.0,dresses
Black ,Boho ,All Over Print ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,69.0,dresses
Black ,Casual ,Plain ,A Line ,Medium Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,49.0,dresses
Dark Green ,Casual ,Plain ,Tank ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,0.0,49.0,dresses
Purple ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.79,79.0,dresses
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"94% Polyester, 6% Elastane ",Machine wash or professional dry clean ,4.91,39.0,dresses
Black ,Elegant ,Plain ,Tee ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ","Hand wash,do not dry clean ",4.8,39.0,dresses
Black and White ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,59.0,dresses
Grey ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.92,39.0,dresses
Teal Blue ,Elegant ,Plain ,A Line ,Slight Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Hand wash or professional dry clean ,5.0,69.0,dresses
Navy Blue ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,79.0,dresses
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.76,89.0,dresses
Dusty Blue ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"62% Viscose, 30% Polyamide, 8% Elastane ",Machine wash or professional dry clean ,4.9,69.0,dresses
Black ,Boho ,Geometric ,Smock ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.85,79.0,dresses
Blue and White ,Boho ,All Over Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,49.0,dresses
Dark Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,79.0,dresses
Chocolate Brown ,Sexy ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.84,39.0,dresses
Multicolor ,Boho ,Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,59.0,dresses
Multicolor ,Elegant ,Tie Dye ,Cami ,Medium Stretch ,Flannelette ,100% Polyester ,"Hand wash,do not dry clean ",4.85,69.0,dresses
Black ,Casual ,Plain ,Smock ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,59.0,dresses
Brown ,Elegant ,Marble ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,79.0,dresses
Multicolor ,Elegant ,All Over Print ,A Line ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,5.0,79.0,dresses
Hot Pink ,Cute ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,49.0,dresses
Multicolor ,Boho ,Ditsy Floral ,Smock ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,49.0,dresses
Dark Green ,Party ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,79.0,dresses
Burgundy ,Elegant ,Plain ,A Line ,Slight Stretch ,Satin ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,4.92,169.0,dresses
Baby Blue ,Elegant ,Plaid ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.9,139.0,dresses
Black ,Elegant ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.77,89.0,dresses
Dark Green ,Casual ,Plain ,Tank ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,69.0,dresses
Khaki ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,4.92,89.0,dresses
Coffee Brown ,Casual ,Leopard Print ,Cami ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.98,59.0,dresses
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,99.0,dresses
Dark Green ,Party ,Plain ,Bodycon ,Slight Stretch ,Satin ,"92% Polyester, 8% Elastane ","Machine wash, do not dry clean ",4.83,69.0,dresses
Black ,Elegant ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.93,99.0,dresses
Burnt Orange ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,79.0,dresses
Mauve Purple ,Casual ,Plain ,Tee ,Slight Stretch ,Knitted Fabric ,"55% Polyester, 43% Viscose, 2% Elastane ",Machine wash or professional dry clean ,4.95,69.0,dresses
Apricot ,Elegant ,Plain ,A Line ,Non-Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,5.0,49.0,dresses
White ,Casual ,Letter ,Bodycon ,Slight Stretch ,Knitted Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.95,49.0,dresses
Green ,Elegant ,Plain ,Fitted ,High Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ","Hand wash,do not dry clean ",4.82,49.0,dresses
Multicolor ,Casual ,Colorblock ,Tee ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,4.85,59.0,dresses
Black ,Sexy ,Plain ,Tank ,Medium Stretch ,Knitted Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,39.0,dresses
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,69.0,dresses
Black ,Elegant ,Plain ,A Line ,High Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.86,89.0,dresses
Mocha Brown ,Casual ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"60% Polyester, 30% Viscose, 10% Elastane ","Hand wash,do not dry clean ",4.85,59.0,dresses
Blue ,Elegant ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses
Black ,Party ,Colorblock ,Bodycon ,Medium Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.86,159.0,dresses
Purple ,Party ,Plain ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,Hand wash or professional dry clean ,4.93,129.0,dresses
Multicolor ,Boho ,Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,59.0,dresses
Rust Brown ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,69.0,dresses
Black ,Elegant ,Plain ,Cami ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.96,49.0,dresses
White ,Boho ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,79.0,dresses
Dusty Blue ,Elegant ,Plain ,A Line ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,99.0,dresses
Black ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,209.0,dresses
Multicolor ,Casual ,"Geometric, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,59.0,dresses
Coffee Brown ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,79.0,dresses
Black ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,39.0,dresses
Multicolor ,Elegant ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,89.0,dresses
Black ,Casual ,Plain ,Bodycon ,Non-Stretch ,Fabric ,"92% Cotton, 8% Elastane ",Machine wash or professional dry clean ,4.93,47.0,dresses
Purple ,Casual ,Plain ,Tunic ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,89.0,dresses
Dark Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",5.0,79.0,dresses
Black ,Casual ,Plain ,Fitted ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.94,59.0,dresses
Black ,Casual ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,19.0,dresses
Multicolor ,Casual ,"Colorblock, Leopard Print ",A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.95,69.0,dresses
Black ,Party ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,69.0,dresses
Navy Blue ,Elegant ,Plain ,A Line ,Slight Stretch ,Lace ,"94% Polyamide, 6% Elastane ","Hand wash,do not dry clean ",5.0,179.0,dresses
Black ,Casual ,Plants ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,Machine wash or professional dry clean ,4.91,47.0,dresses
Black ,Party ,Plain ,Bodycon ,High Stretch ,Metallic ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.87,119.0,dresses
White ,Boho ,Plain ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,Machine wash or professional dry clean ,4.91,99.0,dresses
Burgundy ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.67,59.0,dresses
Black ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,109.0,dresses
Apricot ,Elegant ,Plain ,A Line ,Medium Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,5.0,39.0,dresses
Black ,Sexy ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"93.4% Polyester, 6.6% Spandex ",Hand wash or professional dry clean ,4.88,69.0,dresses
Black ,Party ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,"83% Polyester, 12% Metallized Fibres, 5% Elastane ",Machine wash or professional dry clean ,5.0,59.0,dresses
Baby Pink ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.93,69.0,dresses
Black ,Casual ,"Houndstooth, Colorblock ",A Line ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.85,69.0,dresses
Black ,Casual ,Plain ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,59.0,dresses
Black ,Party ,Plain ,A Line ,Slight Stretch ,Mesh Fabric ,100% Polyamide ,Machine wash or professional dry clean ,4.89,99.0,dresses
Navy Blue ,"Modest, Boho ","Floral, Plants ",A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,63.0,dresses
Black ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.77,59.0,dresses
Army Green ,Elegant ,Letter ,A Line ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,69.0,dresses
Multicolor ,Casual ,Colorblock ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.58,49.0,dresses
Apricot ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.8,89.0,dresses
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,69.0,dresses
Grey ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.87,49.0,dresses
Baby Pink ,Elegant ,Plain ,Fitted ,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,5.0,69.0,dresses
Black ,Elegant ,Plain ,Shirt ,Slight Stretch ,Woven Fabric ,"94% Polyester, 6% Elastane ",Machine wash or professional dry clean ,4.86,89.0,dresses
Dark Green ,Elegant ,Plain ,Cami ,Slight Stretch ,Satin ,100% Polyester ,"Hand wash,do not dry clean ",4.86,39.0,dresses
Black ,Casual ,Plain ,A Line ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,59.0,dresses
Black ,Sexy ,Plain ,Fitted ,Medium Stretch ,Fabric ,"61% Polyester, 33% Cotton, 6% Elastane ",Machine wash or professional dry clean ,4.96,49.0,dresses
Black ,Casual ,Geometric ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,69.0,dresses
Black ,Casual ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.92,49.0,dresses
Multicolor ,Party ,Floral ,A Line ,Slight Stretch ,Flannelette ,100% Polyester ,Machine wash or professional dry clean ,4.93,99.0,dresses
Multicolor ,Elegant ,Plaid ,Shirt ,Non-Stretch ,Fabric ,"71% Polyester, 28% Cotton, 1% Viscose ",Machine wash or professional dry clean ,4.89,129.0,dresses
Champagne ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.67,79.0,dresses
Army Green ,Casual ,Plain ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.95,49.0,dresses
Royal Blue ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.0,219.0,dresses
